MONTH,MONTHNUM,STATE,PERIOD,SEASON,CROP,Generic.Name
Feb,2,Maharashtra,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Rajasthan,Sowing,kharif,arhar/tur,Arhar
Jul,7,Rajasthan,Sowing,kharif,arhar/tur,Arhar
Jan,1,Rajasthan,Harvesting,kharif,arhar/tur,Arhar
Feb,2,Rajasthan,Harvesting,kharif,arhar/tur,Arhar
Jul,7,Uttar Pradesh,Sowing,kharif,arhar/tur,Arhar
Mar,3,Uttar Pradesh,Harvesting,kharif,arhar/tur,Arhar
Apr,4,Uttar Pradesh,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Tamil Nadu,Sowing,kharif,arhar/tur,Arhar
Jul,7,Tamil Nadu,Sowing,kharif,arhar/tur,Arhar
Jan,1,Tamil Nadu,Harvesting,kharif,arhar/tur,Arhar
Feb,2,Tamil Nadu,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Gujarat,Sowing,kharif,arhar/tur,Arhar
Jul,7,Gujarat,Sowing,kharif,arhar/tur,Arhar
Dec,12,Gujarat,Harvesting,kharif,arhar/tur,Arhar
Jan,1,Gujarat,Harvesting,kharif,arhar/tur,Arhar
Jul,7,Bihar,Sowing,kharif,arhar/tur,Arhar
Mar,3,Bihar,Harvesting,kharif,arhar/tur,Arhar
Apr,4,Bihar,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Madhya Pradesh,Sowing,kharif,arhar/tur,Arhar
Jul,7,Madhya Pradesh,Sowing,kharif,arhar/tur,Arhar
Jan,1,Madhya Pradesh,Harvesting,kharif,arhar/tur,Arhar
Feb,2,Madhya Pradesh,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Odisha,Sowing,kharif,arhar/tur,Arhar
Jul,7,Odisha,Sowing,kharif,arhar/tur,Arhar
Jan,1,Odisha,Harvesting,kharif,arhar/tur,Arhar
Feb,2,Odisha,Harvesting,kharif,arhar/tur,Arhar
Jul,7,Jharkhand,Sowing,kharif,arhar/tur,Arhar
Mar,3,Jharkhand,Harvesting,kharif,arhar/tur,Arhar
Apr,4,Jharkhand,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Chhattisgarh,Sowing,kharif,arhar/tur,Arhar
Jul,7,Chhattisgarh,Sowing,kharif,arhar/tur,Arhar
Jan,1,Chhattisgarh,Harvesting,kharif,arhar/tur,Arhar
Feb,2,Chhattisgarh,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Tripura,Sowing,kharif,arhar/tur,Arhar
Jul,7,Tripura,Sowing,kharif,arhar/tur,Arhar
Dec,12,Tripura,Harvesting,kharif,arhar/tur,Arhar
Jan,1,Tripura,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Nagaland,Sowing,kharif,arhar/tur,Arhar
Jul,7,Nagaland,Sowing,kharif,arhar/tur,Arhar
Dec,12,Nagaland,Harvesting,kharif,arhar/tur,Arhar
Jan,1,Nagaland,Harvesting,kharif,arhar/tur,Arhar
Jun,6,All India,Sowing,kharif,arhar/tur,Arhar
Jul,7,All India,Sowing,kharif,arhar/tur,Arhar
Dec,12,All India,Harvesting,kharif,arhar/tur,Arhar
Jan,1,All India,Harvesting,kharif,arhar/tur,Arhar
Feb,2,All India,Harvesting,kharif,arhar/tur,Arhar
Mar,3,All India,Harvesting,kharif,arhar/tur,Arhar
Apr,4,All India,Harvesting,kharif,arhar/tur,Arhar
Jun,6,Andhra Pradesh,Sowing,kharif,mungbean/uradbean,Urad
Jul,7,Andhra Pradesh,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Andhra Pradesh,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Andhra Pradesh,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,Assam,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,Assam,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Assam,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Assam,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,Bihar,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,Bihar,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Bihar,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Bihar,Harvesting,kharif,mungbean/uradbean,Urad
Jun,6,Chhattisgarh,Sowing,kharif,mungbean/uradbean,Urad
Jul,7,Chhattisgarh,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Chhattisgarh,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,Gujarat,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,Gujarat,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Gujarat,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Gujarat,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,Haryana,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,Haryana,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Haryana,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Haryana,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,Jharkhand,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,Jharkhand,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Jharkhand,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Jharkhand,Harvesting,kharif,mungbean/uradbean,Urad
Jun,6,Karnataka,Sowing,kharif,mungbean/uradbean,Urad
Jul,7,Karnataka,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Karnataka,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Karnataka,Harvesting,kharif,mungbean/uradbean,Urad
Jun,6,Kerala,Sowing,kharif,mungbean/uradbean,Urad
Jul,7,Kerala,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Kerala,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Kerala,Harvesting,kharif,mungbean/uradbean,Urad
Jun,6,Madhya Pradesh,Sowing,kharif,mungbean/uradbean,Urad
Jul,7,Madhya Pradesh,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Madhya Pradesh,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Madhya Pradesh,Harvesting,kharif,mungbean/uradbean,Urad
Jun,6,Maharashtra,Sowing,kharif,mungbean/uradbean,Urad
Jul,7,Maharashtra,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Maharashtra,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Maharashtra,Harvesting,kharif,mungbean/uradbean,Urad
Jun,6,Odisha,Sowing,kharif,mungbean/uradbean,Urad
Jul,7,Odisha,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Odisha,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Odisha,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,Punjab,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,Punjab,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Punjab,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Punjab,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,Rajasthan,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,Rajasthan,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Rajasthan,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Rajasthan,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,Tripura,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,Tripura,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Tripura,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Tripura,Harvesting,kharif,mungbean/uradbean,Urad
Jun,6,Tamil Nadu,Sowing,kharif,mungbean/uradbean,Urad
Jul,7,Tamil Nadu,Sowing,kharif,mungbean/uradbean,Urad
